,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
228,2020,4,1103002,1.1.03.002,Batata-doce,0.0124,4.14,25.29,
229,2020,7,1103002,1.1.03.002,Batata-doce,0.0127,-1.21,21.7,
230,2020,1,1103002,1.1.03.002,Batata-doce,0.0104,10.11,10.11,
231,2020,2,1103002,1.1.03.002,Batata-doce,0.0115,1.01,11.23,
232,2020,12,1103002,1.1.03.002,Batata-doce,0.013,6.11,37.28,37.28
233,2020,3,1103002,1.1.03.002,Batata-doce,0.0116,8.17,20.31,
234,2020,10,1103002,1.1.03.002,Batata-doce,0.0114,4.62,17.77,
235,2020,6,1103002,1.1.03.002,Batata-doce,0.0126,0.74,23.2,
236,2020,11,1103002,1.1.03.002,Batata-doce,0.0119,9.85,29.38,
237,2020,9,1103002,1.1.03.002,Batata-doce,0.011,4.65,12.57,
238,2020,5,1103002,1.1.03.002,Batata-doce,0.0129,-2.4,22.29,
239,2020,8,1103002,1.1.03.002,Batata-doce,0.0125,-11.62,7.56,
240,2020,2,1103003,1.1.03.003,Batata-inglesa,0.2007,-3.66,8.06,
241,2020,12,1103003,1.1.03.003,Batata-inglesa,0.2696,7.05,67.33,67.33
242,2020,3,1103003,1.1.03.003,Batata-inglesa,0.1931,8.36,17.1,
243,2020,7,1103003,1.1.03.003,Batata-inglesa,0.2994,-25.16,25.44,
244,2020,5,1103003,1.1.03.003,Batata-inglesa,0.2564,16.92,67.78,
245,2020,1,1103003,1.1.03.003,Batata-inglesa,0.1793,12.16,12.16,
246,2020,10,1103003,1.1.03.003,Batata-inglesa,0.1804,17.19,20.34,
247,2020,6,1103003,1.1.03.003,Batata-inglesa,0.3006,-0.1,67.61,
248,2020,8,1103003,1.1.03.003,Batata-inglesa,0.2231,-12.48,9.78,
249,2020,9,1103003,1.1.03.003,Batata-inglesa,0.1945,-6.46,2.69,
250,2020,11,1103003,1.1.03.003,Batata-inglesa,0.2095,29.9,56.31,
251,2020,4,1103003,1.1.03.003,Batata-inglesa,0.2088,22.54,43.5,
252,2020,2,1103004,1.1.03.004,Inhame,0.0009,-9.85,-13.11,
253,2020,6,1103004,1.1.03.004,Inhame,0.0007,-9.41,-33.85,
254,2020,8,1103004,1.1.03.004,Inhame,0.0006,9.91,-26.21,
255,2020,11,1103004,1.1.03.004,Inhame,0.0009,24.26,20.13,
256,2020,1,1103004,1.1.03.004,Inhame,0.001,-3.61,-3.61,
257,2020,4,1103004,1.1.03.004,Inhame,0.0008,-1.99,-21.05,
258,2020,5,1103004,1.1.03.004,Inhame,0.0008,-7.5,-26.97,
259,2020,12,1103004,1.1.03.004,Inhame,0.0011,-9.93,8.21,8.21
260,2020,10,1103004,1.1.03.004,Inhame,0.0008,20.42,-3.32,
261,2020,3,1103004,1.1.03.004,Inhame,0.0008,-7.3,-19.45,
262,2020,7,1103004,1.1.03.004,Inhame,0.0006,1.49,-32.86,
263,2020,9,1103004,1.1.03.004,Inhame,0.0007,8.79,-19.72,
264,2020,10,1103005,1.1.03.005,Mandioca (aipim),0.0213,10.72,27.96,
265,2020,1,1103005,1.1.03.005,Mandioca (aipim),0.0189,-0.64,-0.64,
266,2020,2,1103005,1.1.03.005,Mandioca (aipim),0.0187,5.25,4.57,
267,2020,12,1103005,1.1.03.005,Mandioca (aipim),0.0236,-2.7,27.15,27.15
268,2020,7,1103005,1.1.03.005,Mandioca (aipim),0.0203,-0.27,8.1,
269,2020,5,1103005,1.1.03.005,Mandioca (aipim),0.0217,-3.15,11.92,
270,2020,3,1103005,1.1.03.005,Mandioca (aipim),0.0196,3.08,7.8,
271,2020,11,1103005,1.1.03.005,Mandioca (aipim),0.0233,2.13,30.68,
272,2020,4,1103005,1.1.03.005,Mandioca (aipim),0.0202,7.2,15.56,
273,2020,6,1103005,1.1.03.005,Mandioca (aipim),0.021,-3.15,8.4,
274,2020,9,1103005,1.1.03.005,Mandioca (aipim),0.0205,4.92,15.57,
275,2020,8,1103005,1.1.03.005,Mandioca (aipim),0.0202,1.89,10.15,
276,2020,2,1103025,1.1.03.025,Pepino,0.0042,-0.56,9.49,
277,2020,6,1103025,1.1.03.025,Pepino,0.0043,10.81,22.58,
278,2020,8,1103025,1.1.03.025,Pepino,0.0047,-9.88,12.51,
279,2020,9,1103025,1.1.03.025,Pepino,0.0043,4.32,17.37,
280,2020,5,1103025,1.1.03.025,Pepino,0.0039,9.04,10.62,
281,2020,10,1103025,1.1.03.025,Pepino,0.0044,15.6,35.68,
282,2020,12,1103025,1.1.03.025,Pepino,0.0044,-15.88,0.38,0.38
283,2020,7,1103025,1.1.03.025,Pepino,0.0047,1.85,24.84,
284,2020,4,1103025,1.1.03.025,Pepino,0.0039,-0.34,1.45,
285,2020,3,1103025,1.1.03.025,Pepino,0.0042,-7.02,1.8,
286,2020,1,1103025,1.1.03.025,Pepino,0.0038,10.1,10.1,
287,2020,11,1103025,1.1.03.025,Pepino,0.005,-12.06,19.32,
288,2020,8,1103026,1.1.03.026,Pimentão,0.018,4.71,33.64,
289,2020,7,1103026,1.1.03.026,Pimentão,0.018,0.28,27.63,
290,2020,11,1103026,1.1.03.026,Pimentão,0.0168,9.17,33.36,
291,2020,5,1103026,1.1.03.026,Pimentão,0.0171,-2.57,17.83,
292,2020,6,1103026,1.1.03.026,Pimentão,0.0167,8.02,27.28,
293,2020,3,1103026,1.1.03.026,Pimentão,0.0143,-0.31,0.84,
